"ntTitle","ntDec","result","tDec","tTitle"
"Blood pressure lowering efficacy of renin inhibitors for primary hypertension","Include","",,
"Blood pressure lowering efficacy of renin inhibitors for primary hypertension: a Cochrane systematic review (Structured abstract)","Include","",,
"Blood pressure lowering efficacy of reserpine for primary hypertension","Include","",,
"Blood pressure response to changes in sodium and potassium intake: a metaregression analysis of randomised trials (Structured abstract)","Include","",,
"Blood pressure response to transcendental meditation: a meta-analysis (Provisional abstract)","Include","",,
"Blood pressure response with fixed-dose combination therapy: comparing hydrochlorothiazide with amlodipine through individual-level meta-analysis (Provisional abstract)","Include","",,
"Blood pressure-lowering effects of biofeedback treatment in hypertension: a meta-analysis of randomized controlled trials (Structured abstract)","Include","",,
"Blood pressure-lowering efficacy of monotherapy with thiazide diuretics for primary hypertension","Include","",,
"Calcium supplementation for the management of primary hypertension in adults","Include","",,
"Carvedilol versus metoprolol for primary hypertension: a systematic review (Provisional abstract)","Include","",,
"Cessation of smoking in essential hypertension - Rapid report (Structured abstract)","Include","",,
"Chinese herbal medicine for the treatment of obesity-related hypertension (Provisional abstract)","Include","",,
"Chinese herbal medicine qi ju di huang wan for the treatment of essential hypertension: a systematic review of randomized controlled trials (Provisional abstract)","Include","",,
"Chinese massage (Tuina) for the treatment of essential hypertension: a systematic review and meta-analysis (Provisional abstract)","Include","",,
"Chinese patent medicine Liu Wei Di Huang Wan combined with antihypertensive drugs, a new integrative medicine therapy, for the treatment of essential hypertension: a systematic review of randomized controlled trials (Provisional abstract)","Include","",,
"Chinese patent medicine tongxinluo capsule for hypertension: a systematic review of randomised controlled trials (Provisional abstract)","Include","",,
"Clinical effect of qigong practice on essential hypertension: a meta-analysis of randomized controlled trials (Structured abstract)","Include","",,
"Coenzyme Q10 in the treatment of hypertension: a meta-analysis of the clinical trials (Provisional abstract)","Include","",,
"Combined calcium, magnesium and potassium supplementation for the management of primary hypertension in adults","Include","",,
"Comparative clinical- and cost-effectiveness of candesartan and losartan in the management of hypertension and heart failure: a systematic review, meta- and cost-utility analysis (Structured abstract)","Include","",,
"Comparative effectiveness of angiotensin-converting enzyme inhibitors (ACEIs) and angiotensin II receptor antagonists (ARBs) for treating essential hypertension (Structured abstract)","Include","",,
"Comparison of the efficacy of candesartan and losartan: a meta-analysis of trials in the treatment of hypertension (Structured abstract)","Include","",,
"Compliance, safety, and effectiveness of fixed-dose combinations of antihypertensive agents: a meta-analysis (Structured abstract)","Include","",,
"Computer-based education for patients with hypertension: a systematic review (Structured abstract)","Include","",,
"Creatine and creatine analogues in hypertension and cardiovascular disease","Include","",,
"Cupping for hypertension: a systematic review (Provisional abstract)","Include","",,
"Device-guided breathing exercises in the control of human blood pressure: systematic review and meta-analysis (Provisional abstract)","Include","",,
"Dietary fiber and blood pressure: a meta-analysis of randomized placebo-controlled trials (Structured abstract)","Include","",,
"Dietary interventions and blood pressure in Latin America ? systematic review and meta-analysis (Provisional abstract)","Include","",,
"Dieting to reduce body weight for controlling hypertension in adults","Include","",,
"Different antihypertensive drugs as first-line therapy in patients with essential hypertension (Structured abstract)","Include","",,
"Do the lactotripeptides isoleucine-proline-proline and valine-proline-proline reduce systolic blood pressure in European subjects? A meta-analysis of randomized controlled trials (Structured abstract)","Include","",,
"Does self-monitoring reduce blood pressure? Meta-analysis with meta-regression of randomized controlled trials (Structured abstract)","Include","",,
"Drug treatment of hypertension - update search (rapid report) (Structured abstract)","Include","",,
"Educational and organisational interventions used to improve the management of hypertension in primary care: a systematic review (Structured abstract)","Include","",,
"The effect of acute aerobic exercise on stress related blood pressure responses: a systematic review and meta-analysis (Provisional abstract)","Include","",,
"Effect of amlodipine on systolic blood pressure (Structured abstract)","Include","",,
"Effect of cocoa on blood pressure","Include","",,
"Effect of cocoa products on blood pressure: systematic review and meta-analysis (Structured abstract)","Include","",,
"Effect of dietary fiber intake on blood pressure: a meta-analysis of randomized, controlled clinical trials (Structured abstract)","Include","",,
"Effect of dietary pulses on blood pressure: a systematic review and meta-analysis of controlled feeding trials (Provisional abstract)","Include","",,
"Effect of garlic on blood pressure: a systematic review and meta-analysis (Structured abstract)","Include","",,
"Effect of GLP-1 mimetics on blood pressure and relationship to weight loss and glycemia lowering: results of a systematic meta-analysis and meta-regression (Provisional abstract)","Include","",,
"Effect of isometric exercise on resting blood pressure: a meta analysis (Provisional abstract)","Include","",,
"Effect of longer term modest salt reduction on blood pressure: Cochrane systematic review and meta-analysis of randomised trials (Structured abstract)","Include","",,
"Effect of longer-term modest salt reduction on blood pressure","Include","",,
"Effect of lower sodium intake on health: systematic review and meta-analyses (Structured abstract)","Include","",,
"Effect of melatonin on nocturnal blood pressure: meta-analysis of randomized controlled trials (Structured abstract)","Include","",,
"Effect of milk tripeptides on blood pressure: a meta-analysis of randomized controlled trials (Structured abstract)","Include","",,
"Effect of oral L-arginine supplementation on blood pressure: a meta-analysis of randomized, double-blind, placebo-controlled trials (Structured abstract)","Include","",,
"The effect of pharmaceutical care programs on blood pressure control in individuals with hypertension: a meta-analysis (Structured abstract)","Include","",,
"Effect of probiotic fermented milk on blood pressure: a meta-analysis of randomised controlled trials (Provisional abstract)","Include","",,
"Effect of resistance training on resting blood pressure: a meta-analysis of randomized controlled trials (Structured abstract)","Include","",,
"Effect of resveratrol on blood pressure: a meta-analysis of randomized controlled trials (Provisional abstract)","Include","",,
"Effect of soya protein on blood pressure: a meta-analysis of randomised controlled trials (Provisional abstract)","Include","",,
"The effect of Tai Chi exercise on blood pressure: a systematic review (Structured abstract)","Include","",,
"Effect of vitamin D on blood pressure: a systematic review and meta-analysis (Structured abstract)","Include","",,
"The effect of walking intervention on blood pressure control: a systematic review (Structured abstract)","Include","",,
"Effectiveness of community health workers in the care of people with hypertension (Structured abstract)","Include","",,
"The effectiveness of Hibiscus sabdariffa in the treatment of hypertension: a systematic review (Structured abstract)","Include","",,
"Effectiveness of interventions for hypertension care in the community: a meta-analysis of controlled studies in China (Provisional abstract)","Include","",,
"Effectiveness of stimulation of acupoint KI 1 by (Moxa) for the Treatment of Essential Hypertension: A Systematic Review of Randomized Controlled Trials (Provisional abstract)","Include","",,
"Effectiveness of yoga for hypertension: systematic review and meta-analysis (Provisional abstract)","Include","",,
"Effects of antihypertensive treatment in Asian populations: a meta-analysis of prospective randomized controlled studies (CARdiovascular protectioN group in Asia: CARNA) (Provisional abstract)","Include","",,
"Effects of antihypertensive treatment in patients over 65 years of age: a meta-analysis of randomised controlled studies (Provisional abstract)","Include","",,
"Effects of antihypertensive-drug class on interindividual variation in blood pressure and risk of stroke: a systematic review and meta-analysis (Structured abstract)","Include","",,
"The effects of biofeedback for the treatment of essential hypertension: a systematic review (Structured abstract)","Include","",,
"Effects of garlic on blood pressure in patients with and without systolic hypertension: a meta-analysis (Structured abstract)","Include","",,
"The effects of health education on patients with hypertension in China: a meta-analysis (Provisional abstract)","Include","",,
"Effects of low sodium diet versus high sodium diet on blood pressure, renin, aldosterone, catecholamines, cholesterol, and triglyceride","Include","",,
"Effects of low-sodium diet vs high-sodium diet on blood pressure, renin, aldosterone, catecholamines, cholesterol, and triglyceride (Cochrane review) (Structured abstract)","Include","",,
"Effects of sodium-glucose co-transporter 2 inhibitors on blood pressure: a systematic review and meta-analysis (Provisional abstract)","Include","",,
"The effects of statins on blood pressure in normotensive or hypertensive subjects: a meta-analysis of randomized controlled trials (Provisional abstract)","Include","",,
"Effects of vitamin C supplementation on blood pressure: a meta-analysis of randomized controlled trials (Provisional abstract)","Include","",,
"Effects of vitamin D supplementation on blood pressure (Provisional abstract)","Include","",,
"The efficacy and safety of cilnidipine on mild to moderate essential hypertension: a systematic review and meta-analysis of randomized controlled trials in Chinese patients (Provisional abstract)","Include","",,
"Efficacy and safety of delapril/indapamide compared to different ACE-inhibitor/hydrochlorothiazide combinations: a meta-analysis (Provisional abstract)","Include","",,
"Efficacy and safety of dual calcium channel blockade for the treatment of hypertension: a meta-analysis (Provisional abstract)","Include","",,
"Efficacy and safety of levoamlodipine besylate for essential hypertension: a systematic review (Provisional abstract)","Include","",,
"The efficacy and safety of triple vs dual combination of angiotensin ii receptor blocker and calcium channel blocker and diuretic: a systematic review and meta-analysis (Provisional abstract)","Include","",,
"Efficacy and safety profiles of manidipine compared with amlodipine: a meta-analysis of head-to-head trials (Structured abstract)","Include","",,
"Efficacy and tolerability of nebivolol compared with other antihypertensive drugs: a meta-analysis (Structured abstract)","Include","",,
"Efficacy of aliskiren/hydrochlorothiazide combination for the treatment of hypertension: a meta-analytical approach (Provisional abstract)","Include","",,
"Efficacy of device-guided breathing for hypertension in blinded, randomized, active-controlled trials: a meta-analysis of individual patient data (Provisional abstract)","Include","",,
"Epicatechin ingested via cocoa products reduces blood pressure in humans: A nonlinear regression model with a Bayesian approach (Provisional abstract)","Include","",,
"Eplerenone for the treatment of hypertension (Structured abstract)","Include","",,
"Evaluation of the benefits and harms of non-drug treatment strategies in patients with essential hypertension: weight reduction (Structured abstract)","Include","",,
"Evening versus morning dosing regimen drug therapy for hypertension","Include","",,
"The evidence for treating hypertension in older people with dementia: a systematic review (Provisional abstract)","Include","",,
"The evolution of a Canadian Hypertension Education Program recommendation: the impact of resistance training on resting blood pressure in adults as an example (Provisional abstract)","Include","",,
"Fermented milk for hypertension","Include","",,
"First-line drugs for hypertension","Include","",,
"First-line drugs inhibiting the renin angiotensin system versus other first-line antihypertensive drug classes for hypertension","Include","",,
"Garlic for the prevention of cardiovascular morbidity and mortality in hypertensive patients","Include","",,
"Ginkgo biloba extract for essential hypertension: a systematic review (Provisional abstract)","Include","",,
"Green tea catechins and blood pressure: a systematic review and meta-analysis of randomised controlled trials (Provisional abstract)","Include","",,
"High-dose folic acid supplementation effects on endothelial function and blood pressure in hypertensive patients: a meta-analysis of randomized controlled clinical trials (Structured abstract)","Include","",,
"Hydralazine for essential hypertension","Include","",,
"Impact of blood pressure telemonitoring on hypertension outcomes: a literature review (Provisional abstract)","Include","",,
"Impact of home blood pressure telemonitoring and blood pressure control: a meta-analysis of randomized controlled studies (Structured abstract)","Include","",,
"The impact of interventions by pharmacists in community pharmacies on control of hypertension: a systematic review and meta-analysis of randomised controlled trials (Provisional abstract)","Include","",,
"Impact of resistance training on blood pressure and other cardiovascular risk factors: a meta-analysis of randomized, controlled trials (Provisional abstract)","Include","",,
"Improving blood pressure control through pharmacist interventions: a meta-analysis of randomized controlled trials (Structured abstract)","Include","",,
"Increase of physical activity in essential hypertension - rapid report (Structured abstract)","Include","",,
"Increasing physical activity for the treatment of hypertension: a systematic review and meta-analysis (Provisional abstract)","Include","",,
"Indirect treatment comparison between fixed-dose-combinations of amlodipine/losartan and amlodipine/valsartan in blood pressure control (Provisional abstract)","Include","",,
"Individualizing hypertension treatment with impedance cardiography: a meta-analysis of published trials (Structured abstract)","Include","",,
"Inorganic nitrate and beetroot juice supplementation reduces blood pressure in adults: a systematic review and meta-analysis (Provisional abstract)","Include","",,
"Insufficient evidence to conclude whether or not transcendental meditation decreases blood pressure: results of a systematic review of randomized clinical trials (Structured abstract)","Include","",,
"Interventions for improving adherence to treatment in patients with high blood pressure in ambulatory settings","Include","",,
"Interventions used to improve control of blood pressure in patients with hypertension","Include","",,
"Irbesartan for hypertensive patients with hyperuricaemia: a systematic review (Provisional abstract)","Include","",,
"Is vitamin C an effective antihypertensive supplement: a review and analysis of the literature (Structured abstract)","Include","",,
"Is yangxue qingnao granule combined with antihypertensive drugs, a new integrative medicine therapy, more effective than antihypertensive therapy alone in treating essential hypertension? (Provisional abstract)","Include","",,
"Isometric exercise training for blood pressure management: a systematic review and meta-analysis (Provisional abstract)","Include","",,
"Lactotripeptides intake and blood pressure management: a meta-analysis of randomised controlled clinical trials (Provisional abstract)","Include","",,
"Lifestyle interventions for hypertension and dyslipidemia among women of reproductive age (Structured abstract)","Include","",,
"Lifestyle interventions or drugs for patients with essential hypertension: a systematic review (Structured abstract)","Include","",,
"Lifestyle interventions to reduce raised blood pressure: a systematic review of randomized controlled trials (Structured abstract)","Include","",,
"Long-term effects of weight-reducing diets in hypertensive patients","Include","",,
"Long-term effects of weight-reducing drugs in hypertensive patients","Include","",,
"Long-term effects of weight-reducing interventions in hypertensive patients: systematic review and meta-analysis (Structured abstract)","Include","",,
"Long-term weight loss from lifestyle intervention benefits blood pressure: a systematic review (Provisional abstract)","Include","",,
"Magnesium supplementation for the management of primary hypertension in adults","Include","",,
"Meta-analysis of randomized controlled trials comparing telmisartan with losartan in the treatment of patients with hypertension (Structured abstract)","Include","",,
"A meta-analysis of randomized controlled trials of azilsartan therapy for blood pressure reduction (Provisional abstract)","Include","",,
"A meta-analysis of randomized trials of telmisartan vs. valsartan therapy for blood pressure reduction (Provisional abstract)","Include","",,
"A meta-analysis of the effect of angiotensin receptor blockers and calcium channel blockers on blood pressure, glycemia and the HOMA-IR index in non-diabetic patients (Provisional abstract)","Include","",,
"A meta-analysis of the efficacy and safety of arotinolol in the treatment of Chinese patients with essential hypertension (Provisional abstract)","Include","",,
"A meta-analysis of the efficacy and safety of candesartan in Chinese patients with mild to moderate essential hypertension (Provisional abstract)","Include","",,
"Meta-analysis on effectiveness and safety of irbesarten/hydrochlorothiazide combination therapy in treatment of essential hypertension (Provisional abstract)","Include","",,
"Meta-analysis-based examination regarding the efficacy of angiotensin II receptor blockers and calcium channel blockers in borderline diabetes and diabetes patients (Provisional abstract)","Include","",,
"Methyldopa for primary hypertension","Include","",,
"Moxibustion for essential hypertension (Provisional abstract)","Include","",,
"Nurse led interventions to improve control of blood pressure in people with hypertension: systematic review and meta-analysis (Structured abstract)","Include","",,
"Nurse-led interventions used to improve control of high blood pressure in people with diabetes: a systematic review and meta-analysis (Structured abstract)","Include","",,
"Pharmaceutical care in hypertensive patients: a systematic literature review (Provisional abstract)","Include","",,
"Pharmacist interventions to enhance blood pressure control and adherence to antihypertensive therapy: review and meta-analysis (Structured abstract)","Include","",,
"Pharmacological interventions for hypertension in children","Include","",,
"Potassium supplementation for the management of primary hypertension in adults","Include","",,
"Potassium treatment for hypertension in patients with high salt intake: a meta-analysis (Provisional abstract)","Include","",,
"The potency of team-based care interventions for hypertension: a meta-analysis (Structured abstract)","Include","",,
"Qigong for hypertension: a systematic review of randomized clinical trials (Structured abstract)","Include","",,
"Reduced dietary salt for the prevention of cardiovascular disease","Include","",,
"Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review) (Structured abstract)","Include","",,
"Reducing blood pressure with internet-based interventions: a meta-analysis (Provisional abstract)","Include","",,
"Reduction of alcohol consumption in essential hypertension - Rapid report (Structured abstract)","Include","",,
"Reduction of salt intake in essential hypertension - rapid report (Structured abstract)","Include","",,
"Relaxation therapies for the management of primary hypertension in adults","Include","",,
"Relaxation therapies for the management of primary hypertension in adults: a Cochrane review (Structured abstract)","Include","",,
"Review of blood pressure control rates and outcomes (Provisional abstract)","Include","",,
"Role of home blood pressure monitoring in overcoming therapeutic inertia and improving hypertension control: a systematic review and meta-analysis (Structured abstract)","Include","",,
"Roselle for hypertension in adults","Include","",,
"Self-measured blood pressure monitoring in the management of hypertension: a systematic review and meta-analysis (Structured abstract)","Include","",,
"Self-measured blood pressure monitoring: comparative effectiveness (Structured abstract)","Include","",,
"Self-monitoring and other non-pharmacological interventions to improve the management of hypertension in primary care: a systematic review (Structured abstract)","Include","",,
"Songling Xuemaikang capsule for primary hypertension: a systematic review of randomized controlled trials (Provisional abstract)","Include","",,
"Spironolactone for hypertension","Include","",,
"Stress-coping interventions in essential hypertension - Rapid report (Structured abstract)","Include","",,
"Systematic review and meta analysis of randomized controlled trials on Tianmagouteng decoction in treatment of primary hypertension with liver Yang hyperactivity syndrome (Provisional abstract)","Include","",,
"A systematic review and meta-analysis of aliskiren and angiotension receptor blockers in the management of essential hypertension (Structured abstract)","Include","",,
"A systematic review and meta-analysis of candesartan and losartan in the management of essential hypertension (Structured abstract)","Include","",,
"A systematic review and meta-analysis of telmisartan vs valsartan in the management of essential hypertension (Structured abstract)","Include","",,
"A systematic review and meta-analysis of yoga for hypertension (Provisional abstract)","Include","",,
"Systematic review of combined angiotensin-converting enzyme inhibition and angiotensin receptor blockade in hypertension (Structured abstract)","Include","",,
"Systematic review: comparative effectiveness of angiotensin-converting enzyme inhibitors and angiotensin II receptor blockers for treating essential hypertension (Structured abstract)","Include","",,
"Tai Chi for essential hypertension (Provisional abstract)","Include","",,
"Tai chi for lowering resting blood pressure in the elderly: a systematic review (Provisional abstract)","Include","",,
"Team-based care and improved blood pressure control: a community guide systematic review (Provisional abstract)","Include","",,
"Telecare is a valuable tool for hypertension management, a systematic review and meta-analysis (Structured abstract)","Include","",,
"Telmisartan versus angiotension-converting enzyme inhibitors in the treatment of hypertension: a meta-analysis of randomized controlled trials (Structured abstract)","Include","",,
"Thiazide diuretics as first-line treatment for hypertension: meta-analysis and economic evaluation (Structured abstract)","Include","",,
"Tianma Gouteng Yin as adjunctive treatment for essential hypertension: a systematic review of randomized controlled trials (Provisional abstract)","Include","",,
"Tianma Gouteng Yin Formula for treating primary hypertension","Include","",,
"Tolerability of nebivolol in head-to-head clinical trials versus other cardioselective beta-blockers in the treatment of hypertension: a meta-analysis (Provisional abstract)","Include","",,
"Total flavones of Hippophae rhamnoides L. for essential hypertension: a systematic review of randomized controlled trials (Provisional abstract)","Include","",,
"Treatment of arterial hypertension in the very elderly: a meta-analysis of clinical trials (Structured abstract)","Include","",,
"Treatment of hypertension in peripheral arterial disease","Include","",,
"Treatment of mild to moderate hypertension by gender perspective: a systematic review (Structured abstract)","Include","",,
"Updated report on comparative effectiveness of ACE inhibitors, ARBs, and direct renin inhibitors for patients with essential hypertension: Much more data, little new information (Provisional abstract)","Include","",,
"Use of diuretics for hypertension in patients with reduced renal function: a review of clinical effectiveness, safety, and guidelines (Structured abstract)","Include","",,
"Usefulness of phyto-oestrogens in reduction of blood pressure: systematic review and meta-analysis (Provisional abstract)","Include","",,
"Valsartan vs. other angiotensin II receptor blockers in the treatment of hypertension: a meta-analytical approach (Structured abstract)","Include","",,
"Value of low dose combination treatment with blood pressure lowering drugs: analysis of 354 randomised trials (Structured abstract)","Include","",,
"Yoga and hypertension: a systematic review (Provisional abstract)","Include","",,
"Yoga for hypertension: a systematic review of randomized clinical trials (Provisional abstract)","Include","",,
"Zhen gan xi feng decoction, a traditional chinese herbal formula, for the treatment of essential hypertension: a systematic review of randomized controlled trials (Provisional abstract)","Include","",,
"Vegetarian diets and blood pressure: a meta-analysis","Include","",,
"Effects of antihypertensive treatment in Asian populations: a meta-analysis of prospective randomized controlled studies (CARdiovascular protectioN group in Asia: CARNA)","Include","",,
"Chinese massage (Tuina) for the treatment of essential hypertension: a systematic review and meta-analysis","Include","",,
"Effectiveness of stimulation of acupoint KI 1 by (Moxa) for the Treatment of Essential Hypertension: A Systematic Review of Randomized Controlled Trials","Include","",,
"Massage therapy for essential hypertension: a systematic review","Include","",,
"The effect of tai chi on health outcomes in patients with chronic conditions: a systematic review","Include","",,
"Blood pressure response to calcium supplementation: a meta-analysis of randomized controlled trials","Include","",,
"Effect of cocoa and tea intake on blood pressure","Include","",,
"Effects of soy isoflavone extract supplements on blood pressure in adult humans: systematic review and meta-analysis of randomized placebo-controlled trials","Include","",,
"A meta-analysis of randomized trials of telmisartan versus losartan for reduction of ambulatory blood pressure","Include","",,
"The effect of chlorogenic acid on blood pressure: a systematic review and meta-analysis of randomized clinical trials","Include","",,
"Clinical usefulness and cost effectiveness of home blood pressure telemonitoring: meta-analysis of randomized controlled studies","Include","",,
"Long-chain omega-3 fatty acids eicosapentaenoic acid and docosahexaenoic acid and blood pressure: a meta-analysis of randomized controlled trials","Include","",,
"Dietary interventions and blood pressure in Latin America – systematic review and meta-analysis","Include","",,
"Effect of aldosterone antagonists on blood pressure in patients with resistant hypertension: a meta-analysis","Include","",,
"Tolerability and effectiveness of (S)-amlodipine compared with racemic amlodipine in hypertension: a systematic review and meta-analysis","Include","",,
"Effect of probiotics on blood pressure: a systematic review and meta-analysis of randomized, controlled trials","Include","",,
"Isometric handgrip exercise and resting blood pressure: a meta-analysis of randomized controlled trials","Include","",,
"Effects of low-sodium diet vs high-sodium diet on blood pressure, renin, aldosterone, catecholamines, cholesterol, and triglyceride (Cochrane review)","Include","",,
"Efficacy of azilsartan medoxomil with chlorthalidone in hypertension","Include","",,
"Effects of lifestyle-related interventions on blood pressure in low and middle-income countries: systematic review and meta-analysis","Include","",,
"Home blood pressure monitoring improves blood pressure control","Include","",,
"Effectiveness of mindfulness-based stress reduction and mindfulness based cognitive therapy in vascular disease: A systematic review and meta-analysis of randomised controlled trials","Include","",,
"Effect of allopurinol on blood pressure: A systematic review","Include","",,
"Efficacy and safety of dual calcium channel (CCB) therapy","Include","",,
"Safety and efficacy of aliskiren in the treatment of hypertension: A systematic overview","Include","",,
"Long-term weight loss from lifestyle intervention benefits blood pressure?: A systematic review","Include","",,
"Updated meta-analytical approach to the efficacy of antihypertensive drugs in reducing blood pressure","Include","",,
"A meta-analytical approach to the efficacy of antihypertensive drugs in reducing blood pressure","Include","",,
"Relaxation treatment in hypertension depends on medication status","Include","",,
"Azilsartan medoxomil for treating hypertension-clinical implications of recent trials","Include","",,
"How strong is the evidence for use of beta-blockers as first-line therapy for hypertension? Systematic review and meta-analysis","Include","",,
"Blood pressure reduction, persistence and costs in the evaluation of antihypertensive drug treatment - A review","Include","",,
"Effect of blood pressure lowering using antihypertensive drugs on ability to carry out activities of daily living in participants with hypertension or pre-hypertension: A systematic review and meta-analysis of randomized controlled trials","Include","",,
"Review: Home or self blood pressure monitoring improves clinic blood pressure in essential hypertension","Include","",,
"Pharmacological interventions for hypertension in children: A systematic review and meta-analysis","Include","",,
"The impact of interventions by pharmacists in community pharmacies on control of hypertension: A systematic review and meta-analysis of randomized controlled trials","Include","",,
"Hypertension: Meta-analysis of randomized controlled trials","Include","",,
"Antihypertensive efficacy of lactotripeptides assumed as functional foods: A meta-analysis of current available clinical trials","Include","",,
"Do the lactotripeptides isoleucine-proline-proline and valine-proline- proline reduce systolic blood pressure in european subjects? a meta-analysis of randomized controlled trials","Include","",,
"Blood pressure lowering effect of lactotripeptides assumed as functional foods: A meta-analysis of current available clinical trials","Include","",,
"Do the lactotripeptides IPP/VPP lower systolic blood pressure in european subjects? A meta-analysis of randomized controlled trials","Include","",,
"Allied health professional-led interventions for improving control of blood pressure in patients with hypertension: Systematic review and meta-analysis","Include","",,
"The impact of dynamic resistance training on blood pressure and other cardiovascular risk factors: A meta-analysis of randomized controlled trials","Include","",,
"Effects of endurance training on blood pressure, blood pressure-regulating mechanisms, and cardiovascular risk factors","Include","",,
"Effect of resistance training on resting blood a pressure: A meta-analysis of randomized controlled trials","Include","",,
"Exercise training for blood pressure: A systematic review and metaanalysis","Include","",,
"Dietary Sodium Intake and Arterial Blood Pressure","Include","",,
"Meta-analysis: The dual therapy of valsartan/amlodipine vs valsartan/hydrochlorothiazide","Include","",,
"Effects of exercise, diet and their combination on blood pressure","Include","",,
"Liraglutide, a once-daily human GLP-1 analogue, reduces systolic blood pressure within 2 weeks in patients with type 2 diabetes","Include","",,
"A meta-analysis of six clinical trials demonstrates that the once-daily human GLP-1 analogue liraglutide reduces systolic blood pressure","Include","",,
"Once-daily human GLP-1 analog liraglutide reduces systolic BP - A meta-analysis of 6 clinical trials","Include","",,
"Liraglutide, a once-daily human GLP-1 analog, lowers systolic blood pressure (SBP) independently of concomitant antihypertensive treatment","Include","",,
"Aliskiren/amlodipine versus aliskiren/ hydrochlorothiazide in hypertension: Indirect-comparison meta-analysis of randomised controlled trials","Include","",,
"Aliskiren vs. angiotensin receptor blockers in hypertension: Meta-analysis of randomized controlled trials","Include","",,
"Effects of low-sodium diet vs. high-sodium diet on blood pressure, renin, aldosterone, catecholamines, cholesterol, and triglyceride (cochrane review)","Include","",,
"Biofeedback for hypertension: A systematic review","Include","",,
"Fructose intake may decrease diastolic and mean arterial blood pressure: A systematic review and meta-analysis of controlled feeding trials","Include","",,
"Effect of Tai Chi as therapeutic exercise on blood pressure: Rapid systematic review","Include","",,
"A systematic review and meta-analysis of the efficacy and safety of a fixed, low-dose perindopril-indapamide combination as first-line treatment of hypertension","Include","",,
"Moxibustion for hypertension: A systematic review","Include","",,
"Efficacy and safety of single pill combinations of angiotensin ii receptor blockers, amlodipine and hydrochlorothiazide: A meta analysis","Include","",,
"Meta-analysis of the effect and safety of berberine in the treatment of type 2 diabetes mellitus, hyperlipemia and hypertension","Include","",,
"The effect of tai chi for blood pressure, blood sugar, blood lipid control for patients with chronic diseases: a systematic review","Include","",,
"Effects of aldosterone antagonists on blood pressure in resistant hypertension: A metaanalysis","Include","",,
"Effect of soy isoflavones on blood pressure: A meta-analysis of randomized controlled trials","Include","",,
"Effect of soy isoflavones on blood pressure. A meta-analysis of randomized controlled trials","Include","",,
"Aliskiren and amlodipine in the management of essential hypertension: Meta-analysis of randomised controlled trials","Include","",,
"A systematic review of Losartan versus Valsartan for essential hypertension associated with hyperuricemia","Include","",,
"Effectiveness of interventions for hypertension care in the community--a meta-analysis of controlled studies in China","Include","",,
"Amlodipine and angiotensin-converting enzyme inhibitor combination versus amlodipine monotherapy in adult primary hypertension: A meta-analysis of randomized controlled trials","Include","",,
"Comparative effectiveness of renin angiotensin system blockades plus ccbs or diuretics for essential hypertension a systematic review","Include","",,
"Sensitivity of patient outcomes to pharmacist interventions. Part II: Systematic review and meta-analysis in hypertension management","Include","",,
"Methyldopa for essential hypertension","Include","",,
"Antihypertensive efficacy of angiotensin receptor blockers as monotherapy as evaluated by ambulatory blood pressure monitoring: Ameta-Analysis","Include","",,
"Antihypertensive efficacy of angiotensin receptor blockers (ARBS) as evaluated by ambulatory blood pressure monitoring (ABPM)","Include","",,
"Spinal manipulation for the treatment of hypertension: A systematic qualitative literature review","Include","",,
"Benefit assessment of salt reduction in patients with hypertension: Systematic overview","Include","",,
"Antihypertensive efficacy of chlorthalidone- versus hydrochlorothiazide- angiotensin receptor blocker combination therapy: A meta-analysis of randomized trials","Include","",,
"Extension of meta-analysis in comparing of fimasartan with losartan in blood pressure lowering effect","Include","",,
"Clinical effectiveness of stress-reduction techniques in patients with hypertension: Systematic review and meta-analysis","Include","",,
"Influence of Weight Reduction on Blood Pressure: A Meta-Analysis of Randomized Controlled Trials","Include","",,
"The effect of green tea on blood pressure and lipid profile: A systematic review and meta-analysis of randomized clinical trials","Include","",,
"The effect of hypertension pharmacotherapy in older adults. The results of a meta-analysis of 11 randomized control trials with 40325 patients","Include","",,
"Efficacy and safety of eplerenone in the management of mild to moderate arterial hypertension: Systematic review and meta-analysis","Include","",,
"Effects of salt substitutes on blood pressure: A meta-analysis of randomized controlled trials","Include","",,
"Meta-analysis of the efficacy and safety of stevioside (from stevia rebaudiana bertoni) in blood pressure control in patients with hypertension","Include","",,
"Updates on the treatment of essential hypertension: A summary of AHRQ's comparative effectiveness review of angiotensin-converting enzyme inhibitors, angiotensin II receptor blockers, and direct renin inhibitors","Include","",,
"Clinical efficacy of bisoprolol compared to atenolol in reducing the in-clinic and ambulatory blood pressure in hypertensive patients","Include","",,
"Does chocolate reduce blood pressure? A meta-analysis","Include","",,
"Oral magnesium supplements decrease high blood pressure (SBP > 155mmHg) in hypertensive subjects on anti-hypertensive medications: A targeted meta-analysis","Include","",,
"Usefulness of phytooestrogens in reduction of blood pressure. Systematic review and meta-analysis","Include","",,
"Reserpine for primary hypertension","Include","",,
"Effects of the Dietary Approach to Stop Hypertension (DASH) diet on cardiovascular risk factors: a systematic review and meta-analysis","Include","",,
"Exercise training for blood pressure: A systematic review and meta-analysis","Include","",,
